a.	ad, adına
A	Alay (askeri terim)
AA	Anadolu Ajansı
AB	Avrupa Birliği
ABD	Amerika Birleşik Devletleri
ABGS	Avrupa Birliği Genel Sekreterliği
A-Bomb	Atom Bomb (Atom Bombası)
ABS	Anti-Block System (Motorlu taşıtlarda fren sistemi)
ADD	Atatürkçü Düşünce Derneği
Adr.	Adres
AET	Avrupa Ekonomik Topluluğu
AFP	Agence France Presse (Fransız Basın Ajansı)
AGİT	Avrupa Güvenlik ve İşbirliği Teşkilatı
AGSK	Avrupa Güvenlik ve Savunma Kimliği
agy	adı geçen yapıt, adı geçen yer
AID	Agency for International Development (Uluslararası Kalkınma Örgütü)
AIDS	Acquired Immune Deficiency Syndrome (Edinilmiş Bağışıklık Eksikliği Belirtisi)
AİHM	Avrupa İnsan Hakları Mahkemesi
AK	Avrupa Konseyi
AKBİL	Akıllı Bilet
AKÇT	Avrupa Kömür ve Çelik Topluluğu
AKDTYK	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
AKKA	Avrupa Konvansiyonel Kuvvetler Antlaşması
AKM	Atatürk Kültür Merkezi
AKP	Adalet ve Kalkınma Partisi
AKPM	Avrupa Konseyi Parlamenterler Meclisi
AKUT	Arama Kurtarma Teşkilatı
Alb.  	Albay
ALES	Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı
Alm.  	Almanca
am  	(1) ante meridiem (öğleden önce), (2) ante mortem (ölümden önce)
ANAP	Anavatan Partisi
Ank.	Ankara
AO  	Anonim Ortaklığı
AOÇ  	Atatürk Orman Çiftliği
AÖF	Açık Öğretim Fakültesi
AP	(1) Associated Press (Amerikan Haberler Ajansı), (2) Adalet Partisi
APS  	Acele Posta Servisi
Apt.	Apartman
Ar.  	Arapça
Ar-Ge	Araştırma-Geliştirme
As.	Asker, Askeri, Askerlik
As. İz.  	Askeri İnzibat
Asb.	 Astsubay
ASELSAN 	Askeri Elektronik Sanayi
ASKİ	Ankara Su ve Kanalizasyon İdaresi
Ass.  	Asistan
AST	Ankara Sanat Tiyatrosu
AŞ	Anonim Şirket(i)
AŞTİ	Ankara Şehirlerarası Terminal İşletmesi
AT	Avrupa Topluluğu
ATAF	Allied Tactical Air Force (Müttefik Taktik Hava Komutanlığı)
Atgm.	Asteğmen
ATM	Automatic Teller Machine (Otomatik Para Çekme Makinesi)
atm.	atmosfer
ATP	Adenozin Trifosfat (İngilizcesi "Adenosine triphosphate"dan kısaltma)
AÜ	(1)Ankara Üniversitesi, (2) Anadolu Üniversitesi, (3) Atatürk Üniversitesi
Av.	Avukat
